organism,contig,position
1121098.PRJDB570,1121098.PRJDB570.BAJE01000065,2562960
1121098.PRJDB570,1121098.PRJDB570.BAJE01000066,2580524
1121098.PRJDB570,1121098.PRJDB570.BAJE01000067,2596194
1121098.PRJDB570,1121098.PRJDB570.BAJE01000068,2611810
1121098.PRJDB570,1121098.PRJDB570.BAJE01000045,2627228
1121098.PRJDB570,1121098.PRJDB570.BAJE01000165,2656180
1121098.PRJDB570,1121098.PRJDB570.BAJE01000164,2656740
1121098.PRJDB570,1121098.PRJDB570.BAJE01000166,2657303
1121098.PRJDB570,1121098.PRJDB570.BAJE01000161,2657841
1121098.PRJDB570,1121098.PRJDB570.BAJE01000160,2658435
1121098.PRJDB570,1121098.PRJDB570.BAJE01000163,2659033
1121098.PRJDB570,1121098.PRJDB570.BAJE01000162,2659617
1121098.PRJDB570,1121098.PRJDB570.BAJE01000075,2660209
1121098.PRJDB570,1121098.PRJDB570.BAJE01000074,2672207
1121098.PRJDB570,1121098.PRJDB570.BAJE01000073,2684675
1121098.PRJDB570,1121098.PRJDB570.BAJE01000072,2697275
1121098.PRJDB570,1121098.PRJDB570.BAJE01000071,2710050
1121098.PRJDB570,1121098.PRJDB570.BAJE01000070,2723371
1121098.PRJDB570,1121098.PRJDB570.BAJE01000078,2736758
1121098.PRJDB570,1121098.PRJDB570.BAJE01000030,2748068
1121098.PRJDB570,1121098.PRJDB570.BAJE01000040,2796560
1121098.PRJDB570,1121098.PRJDB570.BAJE01000041,2832733
1121098.PRJDB570,1121098.PRJDB570.BAJE01000047,2867044
1121098.PRJDB570,1121098.PRJDB570.BAJE01000049,2895763
1121098.PRJDB570,1121098.PRJDB570.BAJE01000107,2920170
1121098.PRJDB570,1121098.PRJDB570.BAJE01000105,2924226
1121098.PRJDB570,1121098.PRJDB570.BAJE01000059,2928479
1121098.PRJDB570,1121098.PRJDB570.BAJE01000058,2949518
1121098.PRJDB570,1121098.PRJDB570.BAJE01000051,2970709
1121098.PRJDB570,1121098.PRJDB570.BAJE01000050,2994869
1121098.PRJDB570,1121098.PRJDB570.BAJE01000053,3019062
1121098.PRJDB570,1121098.PRJDB570.BAJE01000052,3042671
1121098.PRJDB570,1121098.PRJDB570.BAJE01000055,3066807
1121098.PRJDB570,1121098.PRJDB570.BAJE01000054,3088345
1121098.PRJDB570,1121098.PRJDB570.BAJE01000057,3110307
1121098.PRJDB570,1121098.PRJDB570.BAJE01000056,3131718
1121098.PRJDB570,1121098.PRJDB570.BAJE01000088,3153221
1121098.PRJDB570,1121098.PRJDB570.BAJE01000089,3161681
1121098.PRJDB570,1121098.PRJDB570.BAJE01000086,3169681
1121098.PRJDB570,1121098.PRJDB570.BAJE01000087,3178707
1121098.PRJDB570,1121098.PRJDB570.BAJE01000084,3187401
1121098.PRJDB570,1121098.PRJDB570.BAJE01000085,3197156
1121098.PRJDB570,1121098.PRJDB570.BAJE01000082,3206659
1121098.PRJDB570,1121098.PRJDB570.BAJE01000083,3217213
1121098.PRJDB570,1121098.PRJDB570.BAJE01000080,3227152
1121098.PRJDB570,1121098.PRJDB570.BAJE01000081,3237935
1121098.PRJDB570,1121098.PRJDB570.BAJE01000062,3248699
1121098.PRJDB570,1121098.PRJDB570.BAJE01000028,3267454
1121098.PRJDB570,1121098.PRJDB570.BAJE01000029,3316571
1121098.PRJDB570,1121098.PRJDB570.BAJE01000024,3365358
1121098.PRJDB570,1121098.PRJDB570.BAJE01000025,3418521
1121098.PRJDB570,1121098.PRJDB570.BAJE01000026,3471115
1121098.PRJDB570,1121098.PRJDB570.BAJE01000027,3522272
1121098.PRJDB570,1121098.PRJDB570.BAJE01000020,3573112
1121098.PRJDB570,1121098.PRJDB570.BAJE01000021,3641705
1121098.PRJDB570,1121098.PRJDB570.BAJE01000022,3708939
1121098.PRJDB570,1121098.PRJDB570.BAJE01000023,3775608
1121098.PRJDB570,1121098.PRJDB570.BAJE01000110,3833075
1121098.PRJDB570,1121098.PRJDB570.BAJE01000111,3836562
1121098.PRJDB570,1121098.PRJDB570.BAJE01000114,3840026
1121098.PRJDB570,1121098.PRJDB570.BAJE01000115,3843338
1121098.PRJDB570,1121098.PRJDB570.BAJE01000098,3846560
1121098.PRJDB570,1121098.PRJDB570.BAJE01000095,3851509
1121098.PRJDB570,1121098.PRJDB570.BAJE01000094,3856946
1121098.PRJDB570,1121098.PRJDB570.BAJE01000097,3862598
1121098.PRJDB570,1121098.PRJDB570.BAJE01000096,3867779
1121098.PRJDB570,1121098.PRJDB570.BAJE01000091,3873128
1121098.PRJDB570,1121098.PRJDB570.BAJE01000090,3879641
1121098.PRJDB570,1121098.PRJDB570.BAJE01000093,3887637
1121098.PRJDB570,1121098.PRJDB570.BAJE01000092,3893613
1121098.PRJDB570,1121098.PRJDB570.BAJE01000033,3900104
1121098.PRJDB570,1121098.PRJDB570.BAJE01000032,3943405
1121098.PRJDB570,1121098.PRJDB570.BAJE01000031,3988879
1121098.PRJDB570,1121098.PRJDB570.BAJE01000037,4036475
1121098.PRJDB570,1121098.PRJDB570.BAJE01000036,4078136
1121098.PRJDB570,1121098.PRJDB570.BAJE01000035,4119854
1121098.PRJDB570,1121098.PRJDB570.BAJE01000034,4161581
1121098.PRJDB570,1121098.PRJDB570.BAJE01000039,4203897
1121098.PRJDB570,1121098.PRJDB570.BAJE01000038,4244010
1121098.PRJDB570,1121098.PRJDB570.BAJE01000048,4284389
1121098.PRJDB570,1121098.PRJDB570.BAJE01000042,4311972
1121098.PRJDB570,1121098.PRJDB570.BAJE01000043,4344636
1121098.PRJDB570,1121098.PRJDB570.BAJE01000046,4375907
1121098.PRJDB570,1121098.PRJDB570.BAJE01000044,4404772
1121098.PRJDB570,1121098.PRJDB570.BAJE01000109,4435477
1121098.PRJDB570,1121098.PRJDB570.BAJE01000108,4439273
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000169,0
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000168,3578
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000163,7255
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000162,12020
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000161,16806
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000160,21631
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000167,26625
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000166,30325
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000165,34020
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000164,37916
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000099,42024
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000098,56281
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000097,70839
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000096,85409
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000095,100496
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000094,115607
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000093,130782
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000092,146253
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000091,162027
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000090,177845
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000207,193713
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000204,194859
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000039,196129
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000038,233143
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000035,270195
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000034,310063
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000037,352123
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000036,389320
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000031,428635
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000030,471432
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000033,516664
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000032,558882
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000178,601389
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000179,604099
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000170,606788
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000171,610159
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000172,613533
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000173,616815
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000174,619970
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000175,622981
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000176,625973
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000177,628942
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000088,631824
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000089,648946
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000084,665235
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000085,683333
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000086,701308
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000087,718977
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000080,736316
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000081,755619
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000082,774662
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000083,793355
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000202,814327
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000203,815692
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000201,817031
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000028,818466
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000029,864668
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000022,909991
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000020,960865
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000021,1013782
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000026,1064962
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000027,1111898
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000024,1158117
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000025,1208623
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000185,1255772
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000184,1258263
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000187,1260771
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000186,1263260
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000181,1265750
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000180,1268367
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000183,1270993
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000182,1273513
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000189,1275975
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000188,1278394
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000017,1280867
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000016,1339644
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000015,1400044
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000014,1460569
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000013,1521375
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000012,1582281
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000011,1646223
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000010,1713247
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000019,1785267
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000018,1839838
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000192,1897051
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000190,1898806
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000191,1901141
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000196,1903103
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000197,1904647
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000004,1906162
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000005,2005770
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000006,2102582
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000007,2196861
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000000,2290584
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000001,2290794
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000002,2446779
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000003,2586772
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000008,2714398
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000009,2792216
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000023,2864570
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000109,2915084
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000108,2927746
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000105,2940625
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000104,2954041
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000107,2967569
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000106,2980503
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000101,2993507
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000103,3007613
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000102,3021222
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000071,3035164
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000070,3056272
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000073,3077585
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000072,3098270
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000075,3119031
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000074,3139518
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000077,3160199
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000076,3180120
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000079,3200588
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000078,3220118
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000046,3239694
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000210,3269952
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000118,3270983
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000119,3281266
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000112,3291295
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000113,3303499
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000110,3315539
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000111,3328042
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000116,3340532
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000117,3351640
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000114,3362150
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000115,3373939
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000156,3385134
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000157,3390400
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000150,3395697
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000151,3401356
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000069,3406994
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000064,3428331
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000065,3452819
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000062,3477057
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000063,3502145
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000060,3526727
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000061,3552615
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000068,3578088
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000066,3600267
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000067,3624191
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000206,3647364
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000205,3648510
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000200,3649752
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000208,3651187
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000209,3652285
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000127,3653326
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000126,3661707
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000125,3670278
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000124,3679119
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000123,3688186
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000122,3697425
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000121,3706857
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000120,3716334
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000129,3726013
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000128,3733870
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000059,3741761
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000058,3767982
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000053,3794271
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000052,3822639
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000051,3851007
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000050,3879807
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000057,3909021
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000056,3935353
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000055,3962094
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000054,3989437
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000048,4017446
1121115.PRJNA195783,1121115.PRJNA195783.AXVN01000049,4046911
