ori_id	asm_id	refseq	hit	gn:kegg	ori_pos	fname	genome_len
ORI10010072	GCF_000007265.1	NC_004116.1	REFSEQ	T00091	2160171	GCF_000007265.1_ASM726v1_genomic.gff.gz	2160267
ORI10030027	GCF_000006645.1	NC_004088.1	REFSEQ	T00092	4600477	GCF_000006645.1_ASM664v1_genomic.gff.gz	4600755
ORI10010075	GCF_000011245.1	NC_004193.1	REFSEQ	T00093	3630058	GCF_000011245.1_ASM1124v1_genomic.gff.gz	3630528
ORI10010083	GCF_000011305.1	NC_004369.1	REFSEQ	T00103	1723	GCF_000011305.1_ASM1130v1_genomic.gff.gz	3147090
ORI10010082	GCF_000196055.1	NC_004368.1	REFSEQ	T00104	2211463	GCF_000196055.1_ASM19605v1_genomic.gff.gz	2211485
ORI10040025	GCF_000011225.1	NC_004432.1	REFSEQ	T00107	1358464	GCF_000011225.1_ASM1122v1_genomic.gff.gz	1358633
ORI10030032	GCF_000011365.1	NC_004463.1	REFSEQ	T00109	680553	GCF_000011365.1_ASM1136v1_genomic.gff.gz	9105828
ORI10010085	GCF_000007645.1	NC_004461.1	REFSEQ	T00110	2498918	GCF_000007645.1_ASM764v1_genomic.gff.gz	2499279
ORI10040026	GCF_000007725.1	NC_004545.1	REFSEQ	T00111	1	GCF_000007725.1_ASM772v1_genomic.gff.gz	615980
ORI10010089	GCF_000007625.1	NC_004557.1	REFSEQ	T00112	52254	GCF_000007625.1_ASM762v1_genomic.gff.gz	2799251
ORI10010087	GCF_000007245.1	NC_004556.1	REFSEQ	T00113	1466	GCF_000007245.1_ASM724v1_genomic.gff.gz	2519802
ORI10010086	GCF_000196075.1	NC_004551.1	REFSEQ	T00117	1438	GCF_000196075.1_ASM19607v1_genomic.gff.gz	925938
ORI10010093	GCF_000007805.1	NC_004578.1	REFSEQ	T00118	6396882	GCF_000007805.1_ASM780v1_genomic.gff.gz	6397126
ORI10010095	GCF_000011285.1	NC_004606.1	REFSEQ	T00119	1894275	GCF_000011285.1_ASM1128v1_genomic.gff.gz	1894275
ORI10020015	GCF_000007545.1	NC_004631.1	REFSEQ	T00121	3750549	GCF_000007545.1_ASM754v1_genomic.gff.gz	4791961
ORI92040119	GCF_000011065.1	NC_004663.1	REFSEQ	T00122	4171767	GCF_000011065.1_ASM1106v1_genomic.gff.gz	6260361
ORI10010097	GCF_000007785.1	NC_004668.1	REFSEQ	T00123	3217568	GCF_000007785.1_ASM778v1_genomic.gff.gz	3218031
ORI10010099	GCF_000007825.1	NC_004722.1	REFSEQ	T00127	5411528	GCF_000007825.1_ASM782v1_genomic.gff.gz	5411809
ORI10030036	GCF_000007405.1	NC_004741.1	REFSEQ	T00128	3840015	GCF_000007405.1_ASM740v1_genomic.gff.gz	4599354
ORI10010100	GCF_000009145.1	NC_004757.1	REFSEQ	T00130	1591	GCF_000009145.1_ASM914v1_genomic.gff.gz	2812094
ORI10040028	GCF_000007905.1	NC_004917.1	REFSEQ	T00133	1081990	GCF_000007905.1_ASM790v1_genomic.gff.gz	1799146
ORI92840191	GCF_000196115.1	NC_005027.1	REFSEQ	T00134	5451625	GCF_000196115.1_ASM19611v1_genomic.gff.gz	7145576
ORI10030039	GCF_000007205.1	NC_005043.1	REFSEQ	T00136	838691	GCF_000007205.1_ASM720v1_genomic.gff.gz	1225935
ORI10030038	GCF_000007925.1	NC_005042.1	REFSEQ	T00137	1750905	GCF_000007925.1_ASM792v1_genomic.gff.gz	1751080
ORI10040029	GCF_000043285.1	NC_005061.1	REFSEQ	T00138	704749	GCF_000043285.1_ASM4328v1_genomic.gff.gz	705557
ORI10030042	GCF_000011465.1	NC_005072.1	REFSEQ	T00142	1657818	GCF_000011465.1_ASM1146v1_genomic.gff.gz	1657990
ORI10030041	GCF_000011485.1	NC_005071.1	REFSEQ	T00143	2410638	GCF_000011485.1_ASM1148v1_genomic.gff.gz	2410873
ORI10030040	GCF_000195975.1	NC_005070.1	REFSEQ	T00144	2434168	GCF_000195975.1_ASM19597v1_genomic.gff.gz	2434428
ORI10010101	GCF_000196135.1	NC_005090.1	REFSEQ	T00146	2110228	GCF_000196135.1_ASM19613v1_genomic.gff.gz	2110355
ORI10030044	GCF_000011385.1	NC_005125.1	REFSEQ	T00148	3438638	GCF_000011385.1_ASM1138v1_genomic.gff.gz	4659019
ORI10020016	GCF_000196155.1	NC_005126.1	REFSEQ	T00149	44490	GCF_000196155.1_ASM19615v1_genomic.gff.gz	5688987
ORI10030045	GCF_000009745.1	NC_005140.1	REFSEQ	T00150	1855947	GCF_000009745.1_ASM974v1_genomic.gff.gz	1857073
ORI10030047	GCF_000195775.1	NC_005296.1	REFSEQ	T00153	322962	GCF_000195775.1_ASM19577v1_genomic.gff.gz	5459213
ORI10010102	GCF_000008065.1	NC_005362.1	REFSEQ	T00158	1992003	GCF_000008065.1_ASM806v1_genomic.gff.gz	1992676
ORI10040030	GCF_000196175.1	NC_005363.1	REFSEQ	T00159	1417	GCF_000196175.1_ASM19617v1_genomic.gff.gz	3782950
ORI10020018	GCF_000007885.1	NC_005810.1	REFSEQ	T00165	4594787	GCF_000007885.1_ASM788v1_genomic.gff.gz	4595065
ORI10040031	GCF_000007685.1	NC_005824.1	REFSEQ	T00166	346973	GCF_000007685.1_ASM768v1_genomic.gff.gz	350181
ORI10010106	GCF_000008125.1	NC_005835.1	REFSEQ	T00170	1524341	GCF_000008125.1_ASM812v1_genomic.gff.gz	1894877
ORI92840192	GCF_000011565.1	NC_005861.1	REFSEQ	T00172	152012	GCF_000011565.1_ASM1156v1_genomic.gff.gz	2414465
ORI10040035	GCF_000196255.1	NC_006371.1	REFSEQ	T00173	2237068	GCF_000196255.1_ASM19625v1_genomic.gff.gz	2237943
ORI10040038	GCF_000008365.1	NC_006908.1	REFSEQ	T00176	1	GCF_000008365.1_ASM836v1_genomic.gff.gz	777079
ORI10010110	GCF_000008505.1	NC_005957.1	REFSEQ	T00179	5237315	GCF_000008505.1_ASM850v1_genomic.gff.gz	5237682
ORI10030049	GCF_000046705.1	NC_005956.1	REFSEQ	T00180	1930403	GCF_000046705.1_ASM4670v1_genomic.gff.gz	1931047
ORI10030048	GCF_000046685.1	NC_005955.1	REFSEQ	T00181	1580795	GCF_000046685.1_ASM4668v1_genomic.gff.gz	1581384
ORI10010108	GCF_000008165.1	NC_005945.1	REFSEQ	T00184	5228507	GCF_000008165.1_ASM816v1_genomic.gff.gz	5228663
ORI10010111	GCF_000046845.1	NC_005966.1	REFSEQ	T00185	3598158	GCF_000046845.1_ASM4684v1_genomic.gff.gz	3598621
ORI10010112	GCF_000008305.1	NC_006055.1	REFSEQ	T00187	792925	GCF_000008305.1_ASM830v1_genomic.gff.gz	793224
ORI10040033	GCF_000008345.1	NC_006085.1	REFSEQ	T00188	2560151	GCF_000008345.1_ASM834v1_genomic.gff.gz	2560265
ORI10010116	GCF_000007665.1	NC_006087.1	REFSEQ	T00190	2583937	GCF_000007665.1_ASM766v1_genomic.gff.gz	2584158
ORI10010114	GCF_000011665.1	NC_006086.1	REFSEQ	T00191	1899877	GCF_000011665.1_ASM1166v1_genomic.gff.gz	1899877
ORI10030050	GCF_000025945.1	NC_006138.1	REFSEQ	T00192	709557	GCF_000025945.1_ASM2594v1_genomic.gff.gz	3523383
ORI10030051	GCF_000008045.1	NC_006142.1	REFSEQ	T00193	1111114	GCF_000008045.1_ASM804v1_genomic.gff.gz	1111496
ORI10040034	GCF_000196215.1	NC_006156.1	REFSEQ	T00194	460244	GCF_000196215.1_ASM19621v1_genomic.gff.gz	904246
ORI10020019	GCF_000047365.1	NC_006155.1	REFSEQ	T00195	4744561	GCF_000047365.1_ASM4736v1_genomic.gff.gz	4744671
ORI10010118	GCF_000009905.1	NC_006177.1	REFSEQ	T00196	3565701	GCF_000009905.1_ASM990v1_genomic.gff.gz	3566135
ORI10010122	GCF_000011625.1	NC_006274.1	REFSEQ	T00198	5300758	GCF_000011625.1_ASM1162v1_genomic.gff.gz	5300915
ORI10010124	GCF_000008425.1	NC_006322.1	REFSEQ	T00200	4222317	GCF_000008425.1_ASM842v1_genomic.gff.gz	4222645
ORI10030052	GCF_000007745.1	NC_006300.1	REFSEQ	T00201	2281135	GCF_000007745.1_ASM774v1_genomic.gff.gz	2314078
ORI92040120	GCF_000009925.1	NC_006347.1	REFSEQ	T00202	110151	GCF_000009925.1_ASM992v1_genomic.gff.gz	5277274
ORI10030056	GCF_000011545.1	NC_006351.1	REFSEQ	T00203	3166171	GCF_000011545.1_ASM1154v1_genomic.gff.gz	3173005
ORI10030053	GCF_000011705.1	NC_006348.1	REFSEQ	T00204	3006500	GCF_000011705.1_ASM1170v1_genomic.gff.gz	3510148
ORI93040196	GCF_000008405.1	NC_006360.1	REFSEQ	T00206	892551	GCF_000008405.1_ASM840v1_genomic.gff.gz	892758
ORI10010132	GCF_000009805.1	NC_006361.1	REFSEQ	T00207	6020624	GCF_000009805.1_ASM980v1_genomic.gff.gz	6021225
ORI10010126	GCF_000048665.1	NC_006369.1	REFSEQ	T00208	3345130	GCF_000048665.1_ASM4866v1_genomic.gff.gz	3345687
ORI10010125	GCF_000048645.1	NC_006368.1	REFSEQ	T00209	3503063	GCF_000048645.1_ASM4864v1_genomic.gff.gz	3503610
ORI10010130	GCF_000011845.1	NC_006449.1	REFSEQ	T00212	1796173	GCF_000011845.1_ASM1184v1_genomic.gff.gz	1796226
ORI10010128	GCF_000011825.1	NC_006448.1	REFSEQ	T00213	1796793	GCF_000011825.1_ASM1182v1_genomic.gff.gz	1796846
ORI10010135	GCF_000009785.1	NC_006510.1	REFSEQ	T00217	3544386	GCF_000009785.1_ASM978v1_genomic.gff.gz	3544776
ORI10010136	GCF_000008465.1	NC_006512.1	REFSEQ	T00218	2839275	GCF_000008465.1_ASM846v1_genomic.gff.gz	2839318
ORI10020021	GCF_000011885.1	NC_006511.1	REFSEQ	T00219	3858807	GCF_000011885.1_ASM1188v1_genomic.gff.gz	4585229
ORI10010133	GCF_000091545.1	NC_006461.1	REFSEQ	T00220	1849496	GCF_000091545.1_ASM9154v1_genomic.gff.gz	1849742
ORI10030057	GCF_000025965.1	NC_006513.1	REFSEQ	T00222	1677877	GCF_000025965.1_ASM2596v1_genomic.gff.gz	4296230
ORI10010139	GCF_000009825.1	NC_006582.1	REFSEQ	T00228	4303524	GCF_000009825.1_ASM982v1_genomic.gff.gz	4303871
ORI10040036	GCF_000011685.1	NC_006677.1	REFSEQ	T00230	1139728	GCF_000011685.1_ASM1168v1_genomic.gff.gz	2702173
ORI10030060	GCF_000050405.1	NC_006831.1	REFSEQ	T00232	4149	GCF_000050405.1_ASM5040v1_genomic.gff.gz	1499920
ORI10030061	GCF_000050425.1	NC_006832.1	REFSEQ	T00233	4150	GCF_000050425.1_ASM5042v1_genomic.gff.gz	1512977
ORI10030062	GCF_000008385.1	NC_006833.1	REFSEQ	T00234	1079740	GCF_000008385.1_ASM838v1_genomic.gff.gz	1080084
ORI10020023	GCF_000008105.1	NC_006905.1	REFSEQ	T00240	4018843	GCF_000008105.1_ASM810v1_genomic.gff.gz	4755700
ORI10040039	GCF_000008145.1	NC_006933.1	REFSEQ	T00241	1161991	GCF_000008145.1_ASM814v1_genomic.gff.gz	1162204
ORI10010142	GCF_000012245.1	NC_007005.1	REFSEQ	T00246	6093115	GCF_000012245.1_ASM1224v1_genomic.gff.gz	6093698
ORI10040040	GCF_000012105.1	NC_007086.1	REFSEQ	T00247	1371	GCF_000012105.1_ASM1210v1_genomic.gff.gz	5148708
ORI10010146	GCF_000009865.1	NC_007168.1	REFSEQ	T00250	2684845	GCF_000009865.1_ASM986v1_genomic.gff.gz	2685015
ORI10030065	GCF_000012145.1	NC_007109.1	REFSEQ	T00252	1484753	GCF_000012145.1_ASM1214v1_genomic.gff.gz	1485148
ORI10010147	GCF_000012305.1	NC_007204.1	REFSEQ	T00256	2650553	GCF_000012305.1_ASM1230v1_genomic.gff.gz	2650701
ORI10040041	GCF_000012345.1	NC_007205.1	REFSEQ	T00257	335453	GCF_000012345.1_ASM1234v1_genomic.gff.gz	1308759
ORI10010152	GCF_000012425.1	NC_007298.1	REFSEQ	T00259	1549	GCF_000012425.1_ASM1242v1_genomic.gff.gz	4501104
ORI93010528	GCF_000008205.1	NC_007295.1	REFSEQ	T00260	1599	GCF_000008205.1_ASM820v1_genomic.gff.gz	897405
ORI10040043	GCF_000008245.1	NC_007294.1	REFSEQ	T00261	1	GCF_000008245.1_ASM824v1_genomic.gff.gz	799476
ORI93010529	GCF_000008225.1	NC_007332.1	REFSEQ	T00264	1599	GCF_000008225.1_ASM822v1_genomic.gff.gz	920079
ORI10010154	GCF_000012405.1	NC_007333.1	REFSEQ	T00265	3641656	GCF_000012405.1_ASM1240v1_genomic.gff.gz	3642249
ORI10030068	GCF_000203875.1	NC_007348.1	REFSEQ	T00268	2110074	GCF_000203875.1_ASM20387v1_genomic.gff.gz	2726152
ORI10010157	GCF_000010125.1	NC_007350.1	REFSEQ	T00269	2516353	GCF_000010125.1_ASM1012v1_genomic.gff.gz	2516575
ORI10030069	GCF_000012565.1	NC_007354.1	REFSEQ	T00270	11395	GCF_000012565.1_ASM1256v1_genomic.gff.gz	1315030
ORI10040042	GCF_000011745.1	NC_007292.1	REFSEQ	T00272	790626	GCF_000011745.1_ASM1174v1_genomic.gff.gz	791654
ORI10010158	GCF_000009025.1	NC_007356.1	REFSEQ	T00273	1596	GCF_000009025.1_ASM902v1_genomic.gff.gz	1395502
ORI10040044	GCF_000012745.1	NC_007404.1	REFSEQ	T00275	1511	GCF_000012745.1_ASM1274v1_genomic.gff.gz	2909809
ORI10040045	GCF_000012725.1	NC_007406.1	REFSEQ	T00276	114297	GCF_000012725.1_ASM1272v1_genomic.gff.gz	3402093
ORI10010159	GCF_000204075.1	NC_007413.1	REFSEQ	T00277	1502	GCF_000204075.1_ASM20407v1_genomic.gff.gz	6365727
ORI10010161	GCF_000012705.1	NC_007432.1	REFSEQ	T00278	2127732	GCF_000012705.1_ASM1270v1_genomic.gff.gz	2127839
ORI10030071	GCF_000012125.1	NC_007429.1	REFSEQ	T00280	722693	GCF_000012125.1_ASM1212v1_genomic.gff.gz	1044459
ORI10010162	GCF_000012805.1	NC_007484.1	REFSEQ	T00281	1525	GCF_000012805.1_ASM1280v1_genomic.gff.gz	3481691
ORI10040046	GCF_000026085.1	NC_007482.1	REFSEQ	T00282	634716	GCF_000026085.1_ASM2608v1_genomic.gff.gz	635328
ORI10030076	GCF_000012945.1	NC_007509.1	REFSEQ	T00286	1392996	GCF_000012945.1_ASM1294v1_genomic.gff.gz	1395069
ORI10010165	GCF_000012865.1	NC_007503.1	REFSEQ	T00287	2401302	GCF_000012865.1_ASM1286v1_genomic.gff.gz	2401520
ORI10040048	GCF_000009165.1	NC_007508.1	REFSEQ	T00288	1330	GCF_000009165.1_ASM916v1_genomic.gff.gz	5178466
ORI10030073	GCF_000012785.1	NC_007435.1	REFSEQ	T00289	1832116	GCF_000012785.1_ASM1278v1_genomic.gff.gz	3181762
ORI10010168	GCF_000012585.1	NC_007514.1	REFSEQ	T00290	2571845	GCF_000012585.1_ASM1258v1_genomic.gff.gz	2572079
ORI10010166	GCF_000012485.1	NC_007512.1	REFSEQ	T00291	2362910	GCF_000012485.1_ASM1248v1_genomic.gff.gz	2364842
ORI10030080	GCF_000012625.1	NC_007516.1	REFSEQ	T00292	2510458	GCF_000012625.1_ASM1262v1_genomic.gff.gz	2510659
ORI10030079	GCF_000012505.1	NC_007513.1	REFSEQ	T00293	2234633	GCF_000012505.1_ASM1250v1_genomic.gff.gz	2234828
ORI10040049	GCF_000012665.1	NC_007519.1	REFSEQ	T00294	3730119	GCF_000012665.1_ASM1266v1_genomic.gff.gz	3730232
ORI10030081	GCF_000012645.1	NC_007577.1	REFSEQ	T00297	1709070	GCF_000012645.1_ASM1264v1_genomic.gff.gz	1709204
ORI97017016	GCF_000012965.1	NC_007575.1	ASM	T00298	2201475	GCF_000012965.1_ASM1296v1_genomic.gff.gz	2201561
ORI10010175	GCF_000026065.1	NC_007576.1	REFSEQ	T00299	1884300	GCF_000026065.1_ASM2606v1_genomic.gff.gz	1884661
ORI10030084	GCF_000012025.1	NC_007613.1	REFSEQ	T00301	3763785	GCF_000012025.1_ASM1202v1_genomic.gff.gz	4519823
ORI10040050	GCF_000196355.1	NC_007614.1	REFSEQ	T00302	1500	GCF_000196355.1_ASM19635v1_genomic.gff.gz	3184243
ORI10010177	GCF_000009005.1	NC_007622.1	REFSEQ	T00303	2742318	GCF_000009005.1_ASM900v1_genomic.gff.gz	2742531
ORI10040051	GCF_000054005.1	NC_007624.1	REFSEQ	T00304	1156735	GCF_000054005.1_ASM5400v1_genomic.gff.gz	1156948
ORI10030083	GCF_000012005.1	NC_007606.1	REFSEQ	T00306	3740583	GCF_000012005.1_ASM1200v1_genomic.gff.gz	4369232
ORI10040053	GCF_000013105.1	NC_007644.1	REFSEQ	T00308	1779	GCF_000013105.1_ASM1310v1_genomic.gff.gz	2628784
ORI10010178	GCF_000012765.1	NC_007633.1	REFSEQ	T00309	1009729	GCF_000012765.1_ASM1276v1_genomic.gff.gz	1010023
ORI10030087	GCF_000013085.1	NC_007643.1	REFSEQ	T00310	4154190	GCF_000013085.1_ASM1308v1_genomic.gff.gz	4352825
ORI10030088	GCF_000012365.1	NC_007650.1	REFSEQ	T00311	2907995	GCF_000012365.1_ASM1236v1_genomic.gff.gz	2914771
ORI10020025	GCF_000013045.1	NC_007677.1	REFSEQ	T00312	12594	GCF_000013045.1_ASM1304v1_genomic.gff.gz	3551823
ORI10040055	GCF_000012225.1	NC_007716.1	REFSEQ	T00314	705697	GCF_000012225.1_ASM1222v1_genomic.gff.gz	706569
ORI10040056	GCF_000013005.1	NC_007722.1	REFSEQ	T00315	2618117	GCF_000013005.1_ASM1300v1_genomic.gff.gz	3052398
ORI10030090	GCF_000010085.1	NC_007712.1	REFSEQ	T00316	4127547	GCF_000010085.1_ASM1008v1_genomic.gff.gz	4171146
ORI10040059	GCF_000092045.1	NC_007761.1	REFSEQ	T00317	1	GCF_000092045.1_ASM9204v1_genomic.gff.gz	4381608
ORI10030091	GCF_000013205.1	NC_007775.1	REFSEQ	T00318	1647642	GCF_000013205.1_ASM1320v1_genomic.gff.gz	2932766
ORI10010180	GCF_000013345.1	NC_007777.1	REFSEQ	T00320	1724	GCF_000013345.1_ASM1334v1_genomic.gff.gz	5433628
ORI10030093	GCF_000013365.1	NC_007778.1	REFSEQ	T00321	436236	GCF_000013365.1_ASM1336v1_genomic.gff.gz	5331656
ORI10030094	GCF_000013325.1	NC_007794.1	REFSEQ	T00322	119513	GCF_000013325.1_ASM1332v1_genomic.gff.gz	3561584
ORI10010182	GCF_000013465.1	NC_007793.1	REFSEQ	T00323	2872583	GCF_000013465.1_ASM1346v1_genomic.gff.gz	2872769
ORI10010184	GCF_000013425.1	NC_007795.1	REFSEQ	T00324	2821148	GCF_000013425.1_ASM1342v1_genomic.gff.gz	2821361
ORI10040058	GCF_000013385.1	NC_007760.1	REFSEQ	T00326	1396	GCF_000013385.1_ASM1338v1_genomic.gff.gz	5013479
ORI10030095	GCF_000013125.1	NC_007797.1	REFSEQ	T00327	20557	GCF_000013125.1_ASM1312v1_genomic.gff.gz	1471282
ORI10030096	GCF_000013145.1	NC_007799.1	REFSEQ	T00328	26939	GCF_000013145.1_ASM1314v1_genomic.gff.gz	1176248
ORI10040060	GCF_000013165.1	NC_007798.1	REFSEQ	T00329	855136	GCF_000013165.1_ASM1316v1_genomic.gff.gz	859006
ORI10040061	GCF_000013565.1	NC_007802.1	REFSEQ	T00330	188444	GCF_000013565.1_ASM1356v1_genomic.gff.gz	4317977
ORI10010185	GCF_000009245.1	NC_007880.1	REFSEQ	T00331	1895784	GCF_000009245.1_ASM924v1_genomic.gff.gz	1895994
ORI10030097	GCF_000009945.1	NC_007899.1	REFSEQ	T00332	1166160	GCF_000009945.1_ASM994v1_genomic.gff.gz	1166239
ORI10010187	GCF_000010045.1	NC_007907.1	REFSEQ	T00333	5727180	GCF_000010045.1_ASM1004v1_genomic.gff.gz	5727534
ORI10020026	GCF_000013605.1	NC_007908.1	REFSEQ	T00334	40520	GCF_000013605.1_ASM1360v1_genomic.gff.gz	4712337
ORI10020027	GCF_000013665.1	NC_007912.1	REFSEQ	T00335	5052499	GCF_000013665.1_ASM1366v1_genomic.gff.gz	5057531
ORI10030098	GCF_000013745.1	NC_007925.1	REFSEQ	T00336	312527	GCF_000013745.1_ASM1374v1_genomic.gff.gz	5513844
ORI10010189	GCF_000008925.1	NC_007929.1	REFSEQ	T00337	1826625	GCF_000008925.1_ASM892v1_genomic.gff.gz	1827111
ORI10020028	GCF_000013265.1	NC_007946.1	REFSEQ	T00338	4186502	GCF_000013265.1_ASM1326v1_genomic.gff.gz	5065741
ORI10030099	GCF_000012385.1	NC_007940.1	REFSEQ	T00339	1521686	GCF_000012385.1_ASM1238v1_genomic.gff.gz	1522076
ORI10030102	GCF_000013645.1	NC_007953.1	REFSEQ	T00340	1443141	GCF_000013645.1_ASM1364v1_genomic.gff.gz	1471779
ORI10040062	GCF_000013705.1	NC_007947.1	REFSEQ	T00342	1459	GCF_000013705.1_ASM1370v1_genomic.gff.gz	2971517
ORI10040063	GCF_000013865.1	NC_007948.1	REFSEQ	T00343	1435	GCF_000013865.1_ASM1386v1_genomic.gff.gz	5200264
ORI10010190	GCF_000013765.1	NC_007954.1	REFSEQ	T00344	4545452	GCF_000013765.1_ASM1376v1_genomic.gff.gz	4545906
